
STT	Nội dung 1: Khái quát về chủ nghĩa Mác - Lênin	Trả lời đúng
A	Vật chất có trước, ý thức có sau, vật chất quyết định ý thức	1
B	Ý thức có trước, sinh ra và quyết định ý thức	
C	Không thể xác định vật chất và ý thức cái nào có trước cái nào, cái nào sinh ra cái nào và quyết định cái nào	
D	Vật chất và ý thức xuất hiện đồng thời và có sự tác động ngang nhau	
		
		
21	Quan điểm của Chủ nghĩa duy vật biện chứng về mặt thứ hai của vấn đề cơ bản của triết học là gì?	
A	Cuộc sống con người sẽ đi về đâu?	
B	Con người có khả năng nhận thức được thế giới không?	
C	Con người hoàn toàn có khả năng nhận thức đuợc thế giới	1
D	Con người không có khả năng nhận thức được thế giới	
		
		
22	Từ nguyên lý vật chất quyết định ý thức tho triết học Mác – Lênin, đòi hỏi trong hoạt động nhận thức, thực tiễn phải:	
A	Luôn thấm nhuần quan điểm ý thức là cái có sau	
B	Luôn luôn tôn trọng hiện thực khách quan, quy luật khách quan	1
C	Dựa vào nhận thức để thực hiện	
D	Tuân tho ý muốn chủ quan của con người	
		
		
23	Thuộc tính đặc trưng của vật chất tho quan niệm của chủ nghĩa Mác-Lênin là gì? 	
A	Là một phạm trù triết học	
B	Là thực tại khách quan tồn tại không lệ thuộc vào cảm giác	1
C	Là toàn bộ thế giới hiện thực	
D	Là tất cả những gì tác động vào giác quan ta.	
		
		
24	Tho Ph. Ăngghn, cái gì là một phương thức tồn tại của vật chất, là một thuộc tính cố hữu của vật chất, bao gồm tất cả mọi sự thay đổi và mọi quá trình diễn ra trong vũ trụ, kể từ sự thay đổi vị trí đơn giản cho đến tư duy? 	
A	Phát triển	
B	Phủ định	
C	Vận động	1
D	Chuyền hóa từ dạng này sang dạng khác	
		
		
25	Tho quan điểm của triết học Mác - Lênin, các dạng cụ thể của vật chất biểu hiện sự tồn tại của mình ở đâu và thông qua gì?	
A	Các dạng cụ thể của vật chất tồn tại ở mọi nơi vả thông qua sự nhận thức của con người.	
B	Các dạng cụ thể của vật chất tồn tại trong vũ trụ và tồn tại thông qua lực trong tự nhiên.	
C	Các dạng cụ thể của vật chất tồn tại trong không gian, thời gian và thông qua sự vận động mà biểu hiện sự tồn tại của mình.	1
D	Vật chất chỉ là phạm trù triết học	
		
		
26	Tho qua điểm của triết học Mác - Lênin, ý thức là thuộc tính của dạng vật chất nào? 	
A	Dạng vật chất đặc biệt của vật do tạo hóa ban tặng cho con người	
B	Tất cả các dạng tồn tại của vật chất	
C	Dạng vật chất có tổ chức cao là bộ não con người	1
D	Dạng vật chất không xác định	
		
		
27	Từ nguyên lý về “mối liên hệ phổ biến” của “Phép biện chứng duy vật” chúng ta rút ra những nguyên tắc phương pháp luận nào cho họat động lý luận và thực tiễn?	
A	Quan điểm phát triển		
B	Quan điểm toàn diện	
C	Quan điểm lịch sử - cụ thể	
D	Quan điểm toàn diện, lịch sử - cụ thể.	1
		
		
28	Quy luật nào của phép biện chứng duy vật vạch ra khuynh hướng của sự vận động, phát triển? 	
A	Quy luật thống nhất và đấu tranh của các mặt đối lập	
B	Quy luật chuyển hoá từ sự thay đổi về lượng dẫn đến sự thay đổi về chất và ngược lại	
C	Quy luật về sự phù hợp của quan hệ sản xuất với tính chất và trình độ của lực lượng sản xuất	
D	Quy luật phủ định của phủ định	1
		
		
29	Quy luật nào của phép biện chứng duy vật vạch ra nguồn gốc, động lực của sự vận động, phát triển? 	
A	Quy luật thống nhất và đấu tranh của các mặt đối lập	1
B	Quy luật chuyển hoá từ sự thay đổi về lượng dẫn đến sự thay đổi về chất và ngược lại	
C	Quy luật về sự phù hợp của quan hệ sản xuất với tính chất và trình độ của lực lượng sản xuất	
D	Quy luật phủ định của phủ định	
		
		
30	Quy luật nào của phép biện chứng duy vật vạch ra cách thức của sự vận động, phát triển?	
A	Quy luật thống nhất và đấu tranh của các mặt đối lập	
B	Quy luật chuyển hoá từ sự thay đổi về lượng dẫn đến sự thay đổi về chất và ngược lại	1
C	Quy luật về sự phù hợp của quan hệ sản xuất với tính chất và trình độ của lực lượng sản xuất	
D	Quy luật phủ định của phủ định	
		
		
2	Nội dung 2: Khái quát về tư tưởng Hồ Chí Minh	
 31	Đâu là quê hương của Nguyễn Tất Thành trong các địa danh dưới đây?	
A	Hương Sơn – Hà Tĩnh	
B	Nam Đàn – Nghệ An	1
C	Đông Sơn – Thanh Hóa	
D	Hương Hóa – Quảng Trị	
		
		
32	Lúc nhỏ chủ tịch Hồ Chí Minh có tên là gì?	
A	Nguyễn Sinh Cung	1
B	Nguyễn Tất Thành	
C	Nguyễn Văn Ba	
D	Nguyễn Ái Quốc	
		
		
33	Hồ Chí Minh đã từng dạy học ở ngôi trường nào?				
A	Trường tiểu học Pháp – Việt ở Vinh.		
B	Trường tiểu học Đông Ba ở Huế.	
C	Trường Quốc học Huế.	
D	Trường Dục Thanh ở Phan Thiết.	1
		
		
34	Nơi Nguyễn Tất Thành ra đi tìm đường cứu nước từ đâu?	
A	Tại ga Sài Gòn	
B	Tại nhà anh Lê	
C	Tại Cảng Nhà Rồng	1
D	Tại bến phà	
		
		
35	Giai đoạn Nguyễn Ái Quốc tìm đường cứu nước, giải phóng dân tộc được tính từ:	
A	Trước năm 1911	
B	Từ 1911-1920	1
C	Từ 1921-1930	
D	Từ 1931-1941	
		
		
36	Nguyễn Ái Quốc rời Tổ quốc đi tìm đường cứu nước vào ngày, tháng, năm nào?	
A	6/5/1911	
B	5/6/1911	1
C	7/6/1911	
D	8/6/1911	
		
		
37	Nguyễn Ái Quốc dự đại hội Tua tán thành Quốc tế III, tham gia sáng lập Đảng cộng sản Pháp khi nào?							
A	12/1918.	
B	12/1919.	
C	12/1920.	1
D	12/1923.	
		
		
38	Cuối tháng 12 năm 1920 Nguyễn Ái Quốc tham dự Đại hội lần thứ XVIII của tổ chức nào?	
A	Đảng cộng sản Pháp	
B	Đảng Bôn – sê – vích – Nga	
C	Đảng xã hội Pháp	1
D	Đảng cộng sản Liên Xô	
		
		
39	Nguyễn Ái Quốc gửi tới hội nghị Vcxay “Bản yêu sách của nhân dân An Nam” gồm mấy điểm?	
A	6 điểm	
B	7 điểm	
C	8 điểm	1
D	9 điểm	
		
		
40	Hồ Chí Minh là người đã trực tiếp chỉ đạo biên soạn các Hiến Pháp nào của nước ta?	
A	Hiến pháp 1980	
B	Hiến pháp 1946		1
C	Hiến pháp 1959	
D	Hiến pháp 1992	
		
		
41	Chọn phương án trả lời đúng nhất với tư tưởng Hồ Chí Minh?	
A	Tư tưởng Hồ Chí Minh là kết quả của sự vận dụng sáng tạo chủ nghĩa Mác - Lênin vào điều kiện thực tế của nước ta.	
B	Tư tưởng Hồ Chí Minh là kết quả của sự vận dụng và phát triển sáng tạo chủ nghĩa Mác - Lênin vào điều kiện cụ thể của nước ta.	1
C	Tư tưởng Hồ Chí Minh là kết quả của sự phát triển sáng tạo chủ nghĩa Mác - Lênin vào điều kiện thực tế của nước ta.	
D	Tư tưởng Hồ Chí Minh là kết quả của sự vận dụng và phát triển chủ nghĩa Mác - Lênin vào điều kiện thực tiễn của nước ta	
		
		
42	Tư tưởng Hồ Chí Minh được hình thành từ những nguồn gốc nào?	
A	Truyền thống văn hóa của dân tộc Việt Nam 		
B	Tinh hoa văn hóa loài người.	
C	Chủ nghĩa Mác – Lênin và những phẩm chất chủ quan của Hồ Chí Minh	
D	Truyền thống văn hóa của dân tộc Việt Nam, tinh hoa văn hóa loài người, chủ nghĩa Mác – Lênin và những phẩm chất chủ quan của Hồ Chí Minh.	1
		
		
43	Trong những tiền đề lý lụận hình thành Tư tưởng Hồ Chí Minh, tiền đề nào quyết định bản chất cách mạng và khoa học của Tư tưởng Hồ Chí Minh? 		
A	Chủ nghĩa Mác - Lênin	1
B	Tinh hoa văn hoá nhân loại 	
C	Truyền thống yêu nước của dân tộc Việt Nam	
D	Hoàn cảnh lịch sử	
		
		
44	Hồ Chí Minh đánh giá cao nhất yếu tố nào trong giá trị văn hoá truyền thống của dân tộc Việt Nam? 	
A	Tinh thần đoàn kết dân tộc.	
B	Ý thức về chủ quyền quốc gia.	
C	Lòng nhân ái, khoan dung của Việt Nam	
D	Chủ nghĩa yêu nước.	1
		
		
45	Giá trị văn hóa Phương tây được Bác tiếp thu để hình thành tư tưởng của mình là gì?	
A	Tư tưởng cách mạng tư sản Anh, Pháp, Mỹ	1
B	Tư tưởng chủ nghĩa tam dân của Tôn Trung Sơn	
C	Tư tưởng đoàn kết của dân tộc Việt Nam	
D	Chủ nghĩa yêu nước	
		
		
46	Tư tưởng Hồ Chí Minh gồm có bao nhiêu nội dung cơ bản:	
A	6 nội dung	
B	7 nội dung	
C	8 nội dung	1
D	9 nội dung	
		
		
47	Trong tư tưởng đạo đức của Hồ Chí Minh, những phẩm chất nào được Người xm là những đức tính cần thiết của mỗi con người?	
A	Nhân, lễ, nghĩa, trí, tín	
B	Đức, trí, dũng	
C	Chân, thiện, mỹ	
D	Cần, kiệm, liêm, chính	1
		
		
48	Tho tư tưởng Hồ Chí Minh, đạo đức có vai trò	
A	Là cái gốc, là nền tảng của người cách mạng	1
B	Là định hướng lý tưởng của người cách mạng.	
C	Là nền tảng lý luận của người cách mạng.	
D	Là cơ sở tư tưởng của người cách mạng	
		
		
49	Nguyễn Ái Quốc ra đi tìm đường cứu nước, giải phóng dân tộc sau khi đọc Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và thuộc địa của V.I.Lênin con đường cứu nước đó là gì?	
A	Con đường cách mạng tư sản	
B	Con đường quân chủ lập hiến	
C	Con đường cách mạng vô sản	1
D	Con đường cải cách toàn diện	
		
		
50	Tho Hồ Chí Minh, học chủ nghĩa Mác - Lênin nghĩa là gì?		
A	Học thuộc các luận điểm lý luận.	
B	Để chứng tỏ trình độ lý luận.	
C	Để sống với nhau có tình, có nghĩa.	1
D	Để làm việc	
		
		
51	Hãy lựa chọn câu trả lời đúng nhất	
A	Hồ Chí Minh là anh hùng giải phóng dân tộc và là nhà văn hóa;	
B	Hồ Chí Minh là anh hùng giải phóng dân tộc Việt Nam và là một nhà văn hóa kiệt xuất	
C	Hồ Chí Minh  là danh nhân văn hóa kiệt xuất của thế giới	
D	Hồ Chí Minh là anh hùng giải phóng dân tộc Việt Nam và là danh nhân văn hóa kiệt xuất của thế giới;	1
		
		
52	“Tất cả các dân tộc trên thế giới đều sinh ra bình đẳng, dân tộc nào cũng có quyền sống, quyền sung sướng và quyền tự do”. Hồ Chí Minh nói câu đó trong văn kiện nào?	
A	Bản án chế độ thực dân Pháp.	
B	Lời kêu gọi toàn quốc kháng chiến.	
C	Tuyên ngôn độc lập.	1
D	Đường cách mệnh.	
		
		
53	Bài thơ: "Gạo đm vào giã bao đau đớn; Gạo giã xong rồi, trắng tựa bông. Sống ở trên đời ngư¬ời cũng vậy; Gian nan rèn luyện mới thành công" ở trong tác phẩm nào của Hồ Chí Minh?		
A	Ca binh lính	
B	Bài ca du kích     	
C	Nhật ký trong tù	1
D	Ca sợi chỉ	
		
		
54	Hãy chọn đáp án đúng nhất điền vào dấu ba chấm trong lời khẳng định của Chủ tịch Hồ Chí Minh trong tác phẩm Lời kêu gọi toàn quốc kháng chiến: “Chúng ta thà hi sinh tất cả, chứ nhất định không chịu....(1), nhất định không chịu làm....(2)”.	
A	đầu hàng (1), tay sai (2)	
B	mất nước (1), nô lệ (2)	1
C	thỏa hiệp (1), đồng minh (2)	
D	mất nước (1), đồng minh (2)	
		
		
55	Điền cụm từ thích hợp còn thiếu để hoàn chỉnh câu nói của Bác Hồ: “Tôi chỉ có một ham muốn, ham muốn tột bậc, là làm sao cho nước ta được hoàn toàn độc lập, dân ta được hoàn toàn tự do, đồng bào ai cũng có...(1), ai cũng được....(2)”	
A	cơm no, áo ấm (1); hạnh phúc(2)	
B	của ăn, của để (1); sung sướng (2)	
C	cơm ăn, áo mặc(1); học hành (2)	1
D	bát ăn, bát để (1); công bằng (2)	
		
		
56	“Đoàn viên và thanh niên ta nói chung là tốt, mọi việc đều hăng hái xung phong, không ngại khó khăn, có chí tiến thủ. Đảng cần phải chăm lo giáo dục đạo đức cách mạng  cho họ, đào tạo họ thành những người thừa kế xây dựng  chủ nghĩa xã hội vừa “hồng” vừa “chuyên”. Câu nói đó của Hồ Chí Minh trong văn kiện nào?	
A	Đường cách mạng (1927	
B	Tuyên ngôn độc lập (1945)	
C	Di chúc (1969)	1
D	Lời khai mạc Đại hội Đảng lần thứ III (1960)	
		
		
57	“Thanh niên phải có đức, có tài. Có tài mà không có đức ví như một anh làm kinh tế tài chính rất giỏi nhưng lại đi đến thụt két thì chẳng những không làm được gì lợi ích cho xã hội, mà còn có hại cho xã hội nữa. Nếu có đức mà không có tài ví như ông Bụt không làm hại gì, nhưng cũng không có lợi gì cho loài người". Bác Hồ nói những điều trên với lực lượng nào?	
A	Sinh viên	1
B	Công an nhân dân	
C	Bộ đội	
D	Cán bộ Đảng	
		
		
III	Nội dung 3: Những thành tựu của cách mạng Việt Nam dưới sự lãnh đạo của Đảng	
58	Tho quan điểm của V.I.Lênin, để đưa cách mạng vô sản đi tới thắng lợi xây dựng chế độ XHCN, cần phải có tổ chức nào lãnh đạo?	
A	Mặt trận dân tộc thống nhất	
B	Đảng cộng sản	1
C	Quốc tế cộng sản	
D	Liên minh giai cấp công nhân quốc tế	
		
		
59	Cuộc cách mạng nào thắng lợi đã được ví như là: “Giống như mặt trời chói lọi… chiếu sáng khắp năm châu, thức tỉnh hàng triệu người bị áp bức, bóc lột trên trái đất” (Lời Hồ Chí Minh). Đó là cuộc cách mạng nào?	
A	Cách mạng Tân Hợi năm 1911	
B	Cách mạng tư sản Pháp năm 1789	
C	Cách mạng tháng 10 Nga năm 1917	1
D	Công xã Pari năm 1871	
		
		
60	Đây là tổ chức đóng vai trò trung tâm lãnh đạo phong trào cách mạng thế giới đầu thế kỷ XX, là động lực thúc đẩy sự ra đời của nhiều đảng cộng sản và cao trào cách mạng 1919 - 1923	
A	Quốc tế thứ nhất	
B	Đảng Bôn –sê-vích Nga	
C	Quốc tế thứ hai	
D	Quốc tế cộng sản	1
		
		
61	Đầu thế kỷ XX, phong trào cách mạng tho khuynh hướng nào đã tác động mãnh mẽ tới các nhà yêu nước Phan Bội Châu; Phan Châu Trinh	
A	Khuynh hướng cách mạng vô sản	
B	Khuynh hướng dân chủ chủ nô	
C	Khuynh hướng dân chủ tư sản	1
D	Khuynh hướng XHCN không tưởng	
		
		
62	Thực dân Pháp tiến hành cuộc chiến tranh xâm lược nước Việt Nam vào thời gian nào?	
A	Năm 1858	1
B	Năm 1862	
C	Năm 1874	
D	Năm 1884	
		
		
63	Văn kiện nào được triều đình nhà Nguyễn ký năm 1884, thừa nhận sự bảo hộ của Pháp đối với Việt Nam?	
A	Hòa ước Nhâm Tuất 	
B	Hiệp ước Giáp Tuất	
C	Hiệp ước Hác- măng	
D	Hiệp ước Pa-tơ-nốt	1
		
		
64	Trong lĩnh vực kinh tế, thực dân Pháp tiến hành cuộc khai thác thuộc địa lần thứ nhất ở Việt Nam trong thời gian nào?	
A	1890 - 1910	
B	1895 - 1912	
C	1897 - 1914	1
D	1900 - 1918	
		
		
65	Giai cấp nào chiếm tới hơn 90% dân số, bị đế quốc, phong kiến bóc lột nặng nề, được xm là lực lượng cách mạng đông đảo?	
A	Công nhân	
B	Tầng lớp tiểu tư sản	
C	Nông dân	1
D	Tư sản mại bản và tư sản dân tộc	
		
		
66	Đâu là tầng lớp được xm là lực lượng quan trọng của cách mạng nước ta?	
A	Công nhân	
B	Tầng lớp tiểu tư sản	1
C	Nông dân	
D	Tư sản mại bản và tư sản dân tộc	
		
		
67	Giai cấp công nhân Việt Nam ra đời trong công cuộc khai thác thuộc địa lần thứ mấy của thực dân Pháp?	
A	Công cuộc khai thác lần thứ nhất	1
B	Công cuộc khai thác lần thứ hai	
C	Công cuộc khai thác lần thứ ba	
D	Công cuộc khai thác lần thứ tư	
		
		
68	Giai cấp công nhân bị ba tầng áp bức bóc lột của những lực lượng nào?	
A	Đế quốc, Phong kiến, Địa chủ	
B	Đế quốc, phong kiến, tư sản	1
C	Đế quốc, phong kiến, tiểu tư sản	
D	Địa chủ, tiểu tư sản, tư sản	
		
		
69	Giai cấp công nhân Việt Nam được hình thành chủ yếu từ giai cấp này, từ đó tạo nên mối liên hệ tự nhiên của hai giai cấp trong đấu tranh cách mạng?	
A	Tư sản	
B	Nông dân	1
C	Tiểu tư sản	
D	Tư sản dân tộc	
		
		
70	Ngay khi mới ra đời, giai cấp công nhân Việt Nam đã được trang bị hệ tư tưởng cách mạng nào?	
A	Công xã Pari 	
B	Cách mạng tư sản  Anh 	
C	Cách mạng Pháp	
D	Cách mạng tháng 10 Nga	1
		
		
71	Từ sự đô hộ, thống trị của thực dân Pháp, xã hội Việt Nam cuối thế kỷ XIX đầu thế kỷ XX có tính chất gì?	
A	Tính chất quân chủ lập hiến	
B	Tính chất thuộc địa, nửa phong kiến	1
C	Tính chất tư bản chủ nghĩa	
D	Tính chất quân chủ chuyên chế	
		
		
72	Trong xã hội Việt Nam cuối thể kỷ XIX đầu thế kỷ XX, nổi lên những mâu thuẫn cơ bản nào?	
A	Mâu thuẫn giữa toàn thể dân tộc vơi thực dân Pháp và tay sai	
B	Mâu thuẫn giữa tư sản và vô sản	1
C	Mâu thuẫn giữa nông dân với địa chủ	
D	Mâu thuẫn giữa nông dân với tiểu tư sản trí thức	
		
		
73	Phong trào Cần Vương được tiến hành trong thời gian 1885 – 1896 do bộ phận nào lãnh đạo	
A	Sĩ phu phong kiến	1
B	Tư sản dân tộc	
C	Nông dân	
D	Tiểu tư sản	
		
		
74	Đâu là cuộc khởi nghĩa nông dân chống Pháp lớn nhất của đầu thế kỷ XX, do Hoàng Hoa Thám lãnh đạo?	
A	Khởi nghĩa Ba Đình	
B	Khỏi nghĩa Bãi Sậy	
C	Khởi nghĩa Yên Thế	1
D	Khởi nghĩa Hương Khê	
		
		
75	Nhà cách mạng nào đại diện cho xu hướng bạo động của khuynh hướng dân chủ tư sản khi dựa vào Nhật để chống thực dân Pháp?	
A	Phan Văn Trường	
B	Phan Châu Trinh	
C	Phan Khôi	
D	Phan Bội Châu	1
		
		
76	Nhà cách mạng nào đại diện tiêu biểu cho xu hướng cải cách của khuynh hướng dân chủ tư sản đầu thế kỷ XX	
A	Phan Bội Châu	
B	Bùi Quang Chiêu	
C	Phan Châu  Trinh	1
D	Lương Văn Can	
		
		
77	Nguyên nhân nào mà phong trào yêu nước tho khuynh hướng dân chủ tử sản đầu thế kỷ  XX tất thảy đều thất bại?	
A	Thiếu đường lối đúng đắn	1
B	Do địa vị kinh tế và chính trị non yếu của giai cấp tư sản	
C	Sự không đồng tình, ủng hộ của giai cấp công nhân, nông dân	
D	Thiếu sự lãnh đạo của Đảng	
		
		
78	Ai là người đã chủ động triệu tập Hội nghị hợp nhất các tổ chức cộng sản ở Việt Nam thành một chính đảng duy nhất?	
A	Hồ Tùng Mậu	
B	Nguyễn Ái Quốc	1
C	Trần Phú	
D	Châu Văn Liêm	
		
		
80	Hội nghị hợp nhất các tổ chức cộng sản được tiến hành tại địa điểm nào sau đây?	
A	Đài Loan, Trung Quốc	
B	Thượng Hải, Trung Quốc	
C	Hương Cảng, Trung Quốc	1
D	Quảng Châu, Trung Quốc	
		
		
81	Tại Hội nghị hợp nhất các tổ chức cộng sảng Việt Nam, Cương lĩnh chính trị đầu tiên được thông qua. Cương lĩnh bao gồm những văn kiện nào?	
A	Chánh cương vắn tắt, Chương trình tóm tắt	
B	Sách lược vắn tắt, Chánh cương vắn tắt	
C	Lời kêu gọi nhân dịp thành lập Đảng, Chánh cương vắn tắt	
D	Chánh cương vắn tắt, Sách lược vắn tắt, Chương trình tóm tắt	1
		
		
82	Đảng cộng sản Việt Nam ra đời có ý nghĩa gì đối với cách mạng Việt Nam	
A	Là bước ngoặt vĩ đại của cách mạng Việt Nam	
B	Chấm dứt sự khủng hoảng, bế tắc về đường lối cứu nước và giai cấp lãnh đạo cách mạng	
C	Chứng tỏ giai cấp công nhân Việt Nam đã trưởng thành, đủ sức lãnh đạo cách mạng	
D	Là bước ngoặt vĩ đại của cách mạng Việt Nam.  Chấm dứt sự khủng hoảng, bế tắc về đường lối cứu nước và giai cấp lãnh đạo cách mạng.  Chứng tỏ giai cấp công nhân Việt Nam đã trưởng thành, đủ sức lãnh đạo cách mạng	1
		
		
83	Để có được thắng lợi của cách mạng tháng 8 năm 1945, Đảng ta đã lãnh đạo cách mạng Việt Nam trải qua bao nhiêu cuộc Tổng diễn tập cách mạng	
A	Hai lần	
B	Ba lần	
C	Bốn lần	1
D	Năm lần	
		
		
84	Nói về ý nghĩa của cách mạng tháng tám năm 1945, Chủ tịch Hồ Chí Minh khẳng định: “Chẳng những…có thể tự hào mà giai cấp lao động và những dân tộc bị áp bức nơi khác cũng có thể tự hào rằng: lần này là lần đầu tiên trong lịch sử cách mạng, một đảng mới 15 tuổi đã lãnh đạo cách mạng thành công, đã năm chính quyền toàn quốc”. Điền cụm từ thích hợp vào dấu ba chấm còn thiếu ở trên.	
A	giai cấp công nhân, giai cấp nông dân Việt Nam	
B	nhân dân Việt Nam	
C	giai cấp lao động và nhân dân Việt Nam	1
D	toàn thể dân tộc Việt  Nam	
		
		
85	Thắng lợi của cách mạng tháng 8 năm 1945 có ý nghĩa quốc tế gì?	
